qx	qy	Energy_lower	Energy_upper
-2.0000000000e-02	5.0000000000e-02	3.7335378020e+00	2.5496475052e+00
-2.0000000000e-02	6.0000000000e-02	3.8329855162e+00	2.4501997910e+00
-2.0000000000e-02	7.0000000000e-02	3.9323298213e+00	2.3508554859e+00
-2.0000000000e-02	8.0000000000e-02	4.0307026961e+00	2.2524826110e+00
-2.0000000000e-02	9.0000000000e-02	4.1275203202e+00	2.1556649870e+00
-2.0000000000e-02	1.0000000000e-01	4.2223663536e+00	2.0608189536e+00
-1.0000000000e-02	-1.0000000000e-01	4.2070138718e+00	2.0761714353e+00
-1.0000000000e-02	-9.0000000000e-02	4.1102969973e+00	2.1728883098e+00
-1.0000000000e-02	-8.0000000000e-02	4.0111836451e+00	2.2720016621e+00
-1.0000000000e-02	-7.0000000000e-02	3.9099241408e+00	2.3732611663e+00
-1.0000000000e-02	-6.0000000000e-02	3.8068395827e+00	2.4763457245e+00
-1.0000000000e-02	-5.0000000000e-02	3.7023607717e+00	2.5808245355e+00
-1.0000000000e-02	-4.0000000000e-02	3.5971220821e+00	2.6860632250e+00
-1.0000000000e-02	-3.0000000000e-02	3.4922261048e+00	2.7909592024e+00
-1.0000000000e-02	-2.0000000000e-02	3.3901627276e+00	2.8930225796e+00
-1.0000000000e-02	-1.0000000000e-02	3.2990291040e+00	2.9841562031e+00
-1.0000000000e-02	0.0000000000e+00	3.2529511485e+00	3.0302341587e+00
-1.0000000000e-02	1.0000000000e-02	3.2990262329e+00	2.9841590743e+00
-1.0000000000e-02	2.0000000000e-02	3.3901591116e+00	2.8930261956e+00
-1.0000000000e-02	3.0000000000e-02	3.4922222964e+00	2.7909630108e+00
-1.0000000000e-02	4.0000000000e-02	3.5971182255e+00	2.6860670817e+00
-1.0000000000e-02	5.0000000000e-02	3.7023569219e+00	2.5808283853e+00
-1.0000000000e-02	6.0000000000e-02	3.8068357683e+00	2.4763495388e+00
-1.0000000000e-02	7.0000000000e-02	3.9099203801e+00	2.3732649271e+00
-1.0000000000e-02	8.0000000000e-02	4.0111799513e+00	2.2720053559e+00
-1.0000000000e-02	9.0000000000e-02	4.1102933809e+00	2.1728919262e+00
-1.0000000000e-02	1.0000000000e-01	4.2070103414e+00	2.0761749658e+00
0.0000000000e+00	-1.0000000000e-01	4.2018240661e+00	2.0813612411e+00
0.0000000000e+00	-9.0000000000e-02	4.1044617870e+00	2.1787235202e+00
0.0000000000e+00	-8.0000000000e-02	4.0045501593e+00	2.2786351479e+00
0.0000000000e+00	-7.0000000000e-02	3.9022755864e+00	2.3809097208e+00
0.0000000000e+00	-6.0000000000e-02	3.7978537618e+00	2.4853315454e+00
0.0000000000e+00	-5.0000000000e-02	3.6915287925e+00	2.5916565147e+00
0.0000000000e+00	-4.0000000000e-02	3.5835714506e+00	2.6996138566e+00
0.0000000000e+00	-3.0000000000e-02	3.4742765227e+00	2.8089087845e+00
0.0000000000e+00	-2.0000000000e-02	3.3639592790e+00	2.9192260282e+00
0.0000000000e+00	-1.0000000000e-02	3.2529511485e+00	3.0302341587e+00
0.0000000000e+00	0.0000000000e+00	3.1416552092e+00	3.1415300980e+00
0.0000000000e+00	1.0000000000e-02	3.2529470826e+00	3.0302382246e+00
0.0000000000e+00	2.0000000000e-02	3.3639552302e+00	2.9192300770e+00
0.0000000000e+00	3.0000000000e-02	3.4742725021e+00	2.8089128051e+00
0.0000000000e+00	4.0000000000e-02	3.5835674691e+00	2.6996178381e+00
0.0000000000e+00	5.0000000000e-02	3.6915248603e+00	2.5916604469e+00
0.0000000000e+00	6.0000000000e-02	3.7978498887e+00	2.4853354185e+00
0.0000000000e+00	7.0000000000e-02	3.9022717815e+00	2.3809135257e+00
0.0000000000e+00	8.0000000000e-02	4.0045464308e+00	2.2786388764e+00
0.0000000000e+00	9.0000000000e-02	4.1044581425e+00	2.1787271647e+00
0.0000000000e+00	1.0000000000e-01	4.2018205123e+00	2.0813647949e+00
1.0000000000e-02	-1.0000000000e-01	4.2070135094e+00	2.0761717978e+00
1.0000000000e-02	-9.0000000000e-02	4.1102965869e+00	2.1728887203e+00
1.0000000000e-02	-8.0000000000e-02	4.0111831755e+00	2.2720021316e+00
1.0000000000e-02	-7.0000000000e-02	3.9099235966e+00	2.3732617106e+00
1.0000000000e-02	-6.0000000000e-02	3.8068389409e+00	2.4763463662e+00
1.0000000000e-02	-5.0000000000e-02	3.7023599967e+00	2.5808253105e+00
1.0000000000e-02	-4.0000000000e-02	3.5971211140e+00	2.6860641931e+00
1.0000000000e-02	-3.0000000000e-02	3.4922248326e+00	2.7909604746e+00
1.0000000000e-02	-2.0000000000e-02	3.3901609181e+00	2.8930243891e+00
