kx	ky	kz	ELattice_down	ELattice_up	ETB_down	ETB_up
3.1415926536e+00	2.8274333882e+00	3.1415926536e+00	-3.5032961626e-03	3.5032961626e-03	-3.4791621139e-03	3.4791621139e-03
3.1415926536e+00	2.9845130209e+00	3.1415926536e+00	-1.7038923290e-03	1.7038923290e-03	-1.7226614083e-03	1.7226614083e-03
3.1415926536e+00	3.1415926536e+00	3.1415926536e+00	-1.0428659319e-04	1.0428659320e-04	-1.2369409516e-17	4.5137494374e-17
3.1415926536e+00	3.1415926536e+00	2.9845130209e+00	-1.8753616325e-03	1.8753616325e-03	-1.7300277432e-03	1.7300277432e-03
3.1415926536e+00	3.1415926536e+00	2.8274333882e+00	-3.8240489312e-03	3.8240489312e-03	-3.5388998328e-03	3.5388998328e-03
3.1415926536e+00	3.1415926536e+00	2.6703537556e+00	-5.9340511607e-03	5.9340511607e-03	-5.5110914075e-03	5.5110914075e-03
3.1415926536e+00	3.1415926536e+00	2.5132741229e+00	-8.2987774873e-03	8.2987774873e-03	-7.7427703435e-03	7.7427703435e-03
3.1415926536e+00	3.1415926536e+00	2.3561944902e+00	-1.1030258430e-02	1.1030258430e-02	-1.0348713719e-02	1.0348713719e-02
3.1415926536e+00	3.1415926536e+00	2.1991148575e+00	-1.4266830668e-02	1.4266830668e-02	-1.3470458197e-02	1.3470458197e-02
3.1415926536e+00	3.1415926536e+00	2.0420352248e+00	-1.8183030518e-02	1.8183030518e-02	-1.7285909711e-02	1.7285909711e-02
3.1415926536e+00	3.1415926536e+00	1.8849555922e+00	-2.3001454988e-02	2.3001454988e-02	-2.2020211406e-02	2.2020211406e-02
3.1415926536e+00	3.1415926536e+00	1.7278759595e+00	-2.9005869528e-02	2.9005869528e-02	-2.7956628715e-02	2.7956628715e-02
3.1415926536e+00	3.1415926536e+00	1.5707963268e+00	-3.6552853968e-02	3.6552853968e-02	-3.5443855324e-02	3.5443855324e-02
3.1415926536e+00	3.1415926536e+00	1.4137166941e+00	-4.6074563815e-02	4.6074563815e-02	-4.4891060677e-02	4.4891060677e-02
3.1415926536e+00	3.1415926536e+00	1.2566370614e+00	-5.8054657888e-02	5.8054657888e-02	-5.6731417677e-02	5.6731417677e-02
3.1415926536e+00	3.1415926536e+00	1.0995574288e+00	-7.2936855904e-02	7.2936855904e-02	-7.1313583703e-02	7.1313583703e-02
3.1415926536e+00	3.1415926536e+00	9.4247779608e-01	-9.0879358562e-02	9.0879358562e-02	-8.8639933295e-02	8.8639933295e-02
3.1415926536e+00	3.1415926536e+00	7.8539816340e-01	-1.1118145377e-01	1.1118145377e-01	-1.0779990798e-01	1.0779990798e-01
3.1415926536e+00	3.1415926536e+00	6.2831853072e-01	-1.3107826593e-01	1.3107826593e-01	-1.2585680549e-01	1.2585680549e-01
3.1415926536e+00	3.1415926536e+00	4.7123889804e-01	-1.4356732176e-01	1.4356732176e-01	-1.3599006232e-01	1.3599006232e-01
3.1415926536e+00	3.1415926536e+00	3.1415926536e-01	-1.3488617316e-01	1.3488617316e-01	-1.2567702107e-01	1.2567702107e-01
3.1415926536e+00	3.1415926536e+00	1.5707963268e-01	-8.7279028605e-02	8.7279028605e-02	-7.9972279954e-02	7.9972279954e-02
3.1415926536e+00	3.1415926536e+00	0.0000000000e+00	-5.6845764476e-03	5.6845764476e-03	-0.0000000000e+00	2.3408090414e-17
2.9845130209e+00	2.9845130209e+00	0.0000000000e+00	-1.3999848985e-01	1.3999848985e-01	-1.2555247490e-01	1.2555247490e-01
2.8274333882e+00	2.8274333882e+00	0.0000000000e+00	-2.9333196993e-01	2.9333196993e-01	-2.5864958362e-01	2.5864958362e-01
2.6703537556e+00	2.6703537556e+00	0.0000000000e+00	-4.4901651592e-01	4.4901651592e-01	-3.9796769331e-01	3.9796769331e-01
2.5132741229e+00	2.5132741229e+00	0.0000000000e+00	-5.8959014475e-01	5.8959014475e-01	-5.2988883134e-01	5.2988883134e-01
2.3561944902e+00	2.3561944902e+00	0.0000000000e+00	-6.9759269083e-01	6.9759269083e-01	-6.3666163662e-01	6.3666163662e-01
2.1991148575e+00	2.1991148575e+00	0.0000000000e+00	-7.6549391630e-01	7.6549391630e-01	-7.0742387074e-01	7.0742387074e-01
2.0420352248e+00	2.0420352248e+00	0.0000000000e+00	-7.9356779963e-01	7.9356779963e-01	-7.3954922987e-01	7.3954922987e-01
1.8849555922e+00	1.8849555922e+00	0.0000000000e+00	-7.8417353256e-01	7.8417353256e-01	-7.3398142645e-01	7.3398142645e-01
